Variable,Horizon,LowerCI,Resp,HigherCI
TFP,1,-0,-0,-0
TFP,2,-0.43304123172296,-0.183827838400151,0.062105942313864
TFP,3,-0.754534676128465,-0.465478399115198,-0.104524266899326
TFP,4,-0.891021642102863,-0.555541665702125,-0.0792823179501655
TFP,5,-0.920191242707257,-0.530640209464107,-0.0263682853912347
TFP,6,-0.848801882027545,-0.453771374439306,0.120926391071435
TFP,7,-0.786902995282523,-0.358958963899572,0.288323014990593
TFP,8,-0.692275366694204,-0.244413707265697,0.417395464742609
TFP,9,-0.606824236835898,-0.12175900535283,0.521083679791456
TFP,10,-0.505946833698168,-0.0171731379189395,0.628537896717506
TFP,11,-0.417872226780967,0.100214826568088,0.734736657405894
TFP,12,-0.326390708453152,0.191529688790718,0.843612329984083
TFP,13,-0.222818110825157,0.266570981972055,0.954279622136143
TFP,14,-0.122387880108216,0.371784081884011,1.05823396864879
TFP,15,-0.00164913256894376,0.456257917912291,1.14301494241604
TFP,16,0.0815225200793243,0.550469467435311,1.20619364373487
TFP,17,0.166383511262509,0.653386916296228,1.28355024447266
TFP,18,0.249118597871809,0.753013662857564,1.37181723212626
TFP,19,0.347605704039262,0.850552788108524,1.47946600923974
TFP,20,0.429196570154433,0.930043680035878,1.5720358798185
TFP,21,0.498722227641774,1.00001315381108,1.65909034480601
TFP,22,0.586802196707219,1.07858812656705,1.75846138643905
TFP,23,0.660190140432445,1.15198059735989,1.83984287137784
TFP,24,0.722571223019623,1.21971193551463,1.91926656759356
TFP,25,0.788289057515909,1.27644454744754,1.99356668117921
TFP,26,0.848526258568576,1.34053670810489,2.07394226262447
TFP,27,0.898234369560106,1.39097101047344,2.13018326892069
TFP,28,0.947051487958272,1.43501361209862,2.18723918230929
TFP,29,0.991749375974483,1.49263736575525,2.26021255801544
TFP,30,1.02214318281662,1.54136239775531,2.31487367333104
TFP,31,1.06075518199794,1.59460517612535,2.46382023938846
TFP,32,1.10036902891229,1.64057000723968,2.49812919304398
TFP,33,1.12491736459551,1.67458740899119,2.49776837721154
TFP,34,1.12948804370384,1.69299043709219,2.53092999479127
TFP,35,1.1419187789925,1.70974816333161,2.56230142423181
TFP,36,1.15764799939895,1.72990026729696,2.56249188968517
TFP,37,1.16109379425889,1.73808354162556,2.61304639705481
TFP,38,1.15693108104693,1.76229365212984,2.64399425582979
TFP,39,1.13956149904203,1.76201716858522,2.69329179858419
TFP,40,1.13244130317005,1.75986186868943,2.7046461712916
Output,1,-0.0957005214690236,0.0397240761359059,0.168778856659331
Output,2,-0.0286131501797358,0.113982836651651,0.232708716587562
Output,3,0.0385581276424503,0.201020974581686,0.333186125365652
Output,4,0.0980424056529057,0.284964047142928,0.441415256893164
Output,5,0.132585700536131,0.328920071246354,0.498518195120058
