Variable,Horizon,LowerCI,Resp,HigherCI
TFP,1,-0,-0,-0
TFP,2,-0.237234392106934,0.0174098062015191,0.332518041418178
TFP,3,-0.523085670625662,-0.170555732417057,0.341425588623134
TFP,4,-0.63475604543442,-0.263971558384036,0.360148481821847
TFP,5,-0.708689924894578,-0.252123184402201,0.432807936377254
TFP,6,-0.703573186778589,-0.22268921275577,0.528874388217445
TFP,7,-0.678648687747452,-0.122387470880002,0.640070434958445
TFP,8,-0.604035703766443,-0.0296980666519167,0.754923497009973
TFP,9,-0.512860646338332,0.0799394670678611,0.873105249341207
TFP,10,-0.42551516013534,0.202814944111182,0.995877886408252
TFP,11,-0.31304481181119,0.31868779898663,1.11857217241239
TFP,12,-0.179565718160588,0.435610321617257,1.24596204815509
TFP,13,-0.043510878902529,0.581250424851598,1.37975878797599
TFP,14,0.092704062128557,0.705113033978242,1.48721669240981
TFP,15,0.219453664705024,0.824355346957666,1.62108156452456
TFP,16,0.310419048178985,0.924448990080385,1.71013628932408
TFP,17,0.41777021249874,1.02467285100787,1.79653253838664
TFP,18,0.508666803200625,1.11394580697007,1.93864622368632
TFP,19,0.615126533548105,1.20051250889884,2.02230660313405
TFP,20,0.679820917504572,1.27558079429127,2.16204690661238
TFP,21,0.756924633692913,1.35835505383091,2.2456134028806
TFP,22,0.840784389671313,1.44595847374268,2.36000467762301
TFP,23,0.904389736550664,1.52840464472111,2.45327567809125
TFP,24,0.950498219619675,1.57115448122676,2.508142943893
TFP,25,0.999792729643525,1.60562313860332,2.56824239502795
TFP,26,1.03544414906045,1.64481249880588,2.64261759718684
TFP,27,1.06635089572572,1.67503761916189,2.69358049245794
TFP,28,1.10083007341851,1.70950229378601,2.76483308308349
TFP,29,1.13805500112322,1.73828415152167,2.84706259559171
TFP,30,1.14858107336063,1.76403620515078,2.89614293318093
TFP,31,1.16082567822814,1.77875275514019,2.93687694915464
TFP,32,1.17036988705098,1.79948837546584,3.00087617765977
TFP,33,1.16424534743201,1.80486815624479,3.04540758460662
TFP,34,1.1634400534296,1.82209085020701,3.04391020918961
TFP,35,1.16061047033252,1.80005179050503,3.05542362773279
TFP,36,1.15398631921608,1.80642325998947,3.06965703346358
TFP,37,1.15777258865665,1.79672351874118,3.01977341027657
TFP,38,1.14475972909103,1.78142872652367,2.99520688614028
TFP,39,1.12371610820514,1.76139702863348,2.99227050017641
TFP,40,1.10446171606556,1.75847544345897,3.02162745589565
Output,1,0.0108465426400751,0.159607728494103,0.299722130806021
Output,2,0.0707838039867356,0.227685534017538,0.348078894740515
Output,3,0.119037226208233,0.310923322442017,0.4433407391612
Output,4,0.187608885795692,0.399376290401588,0.545698848828297
Output,5,0.21595190057056,0.441503524360159,0.611907919874521
Output,6,0.245030815793951,0.476745264711007,0.663150983402448
Output,7,0.276299993061342,0.505966792472571,0.710377243874381
Output,8,0.30125016664147,0.530333276645059,0.73570133319772
Output,9,0.321946948925437,0.546525428616077,0.752328230181115
Output,10,0.337352643093308,0.556224124429445,0.779985491127421
Output,11,0.344539591068845,0.565591893886953,0.787351477298131
Output,12,0.357242293017355,0.577580590253117,0.802118210031981
Output,13,0.371098637195572,0.579784710169616,0.812388044176097
Output,14,0.383499289237655,0.585210117308612,0.819231448039204
Output,15,0.385418368133467,0.583195191247796,0.826911671559852
Output,16,0.388017718865356,0.57738704747748,0.837166176510306
Output,17,0.379043554194561,0.573942510765727,0.836861742317707
Output,18,0.369469738504089,0.576085230230495,0.839016210140199
Output,19,0.362895629656959,0.578486969447934,0.840839328806224
Output,20,0.349402544890406,0.571359506293295,0.838641253731113
Output,21,0.340302996159758,0.56489497843944,0.837844936587593
Output,22,0.329469001031602,0.548267625753368,0.833310760558011
Output,23,0.321049635805694,0.535332440199927,0.829376845252802
Output,24,0.310195405718337,0.520159807164139,0.826184036429638
Output,25,0.297796753404767,0.506042762681728,0.820186146468641
Output,26,0.278128123807534,0.489186179434427,0.814257882685294
Output,27,0.267897052723825,0.472787654076945,0.805152476544404
Output,28,0.253382611967427,0.453288190304831,0.790649474568891
Output,29,0.233143099074345,0.436263220340049,0.7670901208037
Output,30,0.220092380614073,0.423673513040905,0.752748566284709
Output,31,0.205327645483731,0.404143889252569,0.739668697622227
Output,32,0.191278688459617,0.383019491011206,0.735994889084672
Output,33,0.174711843170751,0.361310089727952,0.722370014627636
Output,34,0.157118456411395,0.346806823007248,0.708561340854205
Output,35,0.143351290065212,0.332517491440732,0.688044816303897
Output,36,0.12877965768656,0.321843872954932,0.674874612895153
Output,37,0.119165849888344,0.3051185255649,0.64940751369014
Output,38,0.114731433119348,0.28978328396746,0.624979823874389
Output,39,0.102908341401771,0.276543663630046,0.608257532365312
Output,40,0.0938218162891972,0.262040055414354,0.59365848423473
Consumption,1,0.00949556450405146,0.123549707911081,0.203208819746572
Consumption,2,0.0501269913312025,0.163980473152617,0.241537082209952
Consumption,3,0.0824245013138933,0.211995398342901,0.300386339611907
Consumption,4,0.122475883610326,0.285984806368746,0.38271051019727
Consumption,5,0.159837316107117,0.333280817654461,0.439978087216409
Consumption,6,0.181255783337928,0.372925503732198,0.489873325217963
Consumption,7,0.195863069306813,0.406350156512032,0.531735346784233
Consumption,8,0.223950018592423,0.43445491203112,0.573007569699868
Consumption,9,0.259022809958146,0.458650713077368,0.602472575028414
Consumption,10,0.29195865193372,0.477123037854242,0.631924649462055
Consumption,11,0.310810945282016,0.49520074878359,0.65718178288614
Consumption,12,0.323168327721329,0.506852078470877,0.680660598328563
Consumption,13,0.332175447108238,0.516683218767826,0.700568063074881
Consumption,14,0.344261338462925,0.523224893383302,0.718553986003108
Consumption,15,0.352451692065476,0.527509455419075,0.732465304702613
Consumption,16,0.363551541760031,0.538069040391113,0.75159861758993
Consumption,17,0.362194228885499,0.538964915856418,0.75960103647337
Consumption,18,0.361506306638466,0.544743084199634,0.768747398329373
Consumption,19,0.356336358867579,0.549687834420869,0.781994255413766
Consumption,20,0.354908557690945,0.552492482144932,0.800366442836195
Consumption,21,0.353743423667788,0.554243039464257,0.808261752298385
Consumption,22,0.350210508581735,0.554913272234226,0.809658144102763
Consumption,23,0.345281930276344,0.554705329392081,0.810044814531328
Consumption,24,0.340832621093896,0.545171413758394,0.819206673654823
Consumption,25,0.332850592184827,0.541333124258811,0.820486437167957
Consumption,26,0.332503334355216,0.537856038308836,0.826552595069878
Consumption,27,0.32338550134802,0.525352025753318,0.838159600287263
Consumption,28,0.31981248485038,0.515006132096329,0.835277284818855
Consumption,29,0.310628285031566,0.500456823929875,0.842975535806175
Consumption,30,0.302986828856086,0.490400678124972,0.836551758883524
Consumption,31,0.296590134781057,0.488228610193159,0.820996439708323
Consumption,32,0.286804244461749,0.481186222158448,0.813595270572144
Consumption,33,0.27565354452964,0.47492539538164,0.814970315255675
Consumption,34,0.267977419814837,0.463233681526398,0.815151599553234
Consumption,35,0.258569048274774,0.451038844942466,0.807590700759066
Consumption,36,0.252077504325966,0.440359293365336,0.805980863290263
Consumption,37,0.243806736077204,0.429442680847256,0.800638456250223
Consumption,38,0.236053924201044,0.417038018567834,0.794250791335372
Consumption,39,0.22968721338057,0.408182445758425,0.781318690322629
Consumption,40,0.222917278524804,0.399640346187798,0.774531470416577
Hours,1,-0.0617073338817004,0.077159052658772,0.178182727611539
Hours,2,-0.0314290072096792,0.185844497305471,0.316778746231512
Hours,3,0.0114548958571437,0.308122809605066,0.484036147037621
Hours,4,0.0706836456166677,0.42518868355762,0.644088570198998
Hours,5,0.137069041379839,0.518441910526427,0.76413122893193
Hours,6,0.207602741069306,0.604218206035423,0.864828000163735
Hours,7,0.253040368123828,0.648532071852989,0.937042977856013
Hours,8,0.29599001237313,0.680884492026573,0.984358930400904
Hours,9,0.305184029149015,0.693608022153467,1.00460497765317
Hours,10,0.295551511489241,0.690048217490978,1.01027720111145
Hours,11,0.289149136666977,0.681685372353383,1.00392883940262
Hours,12,0.291921855408533,0.659279027108202,0.981276784971151
Hours,13,0.275234109767063,0.627716833714552,0.943212758997939
Hours,14,0.270548144703256,0.599144334708153,0.923871430657988
Hours,15,0.248069565925522,0.569280961498489,0.888624877812153
Hours,16,0.233195109305626,0.537981050028297,0.855813305152537
Hours,17,0.209815922296302,0.50052963384091,0.818784371652773
Hours,18,0.170992674624708,0.46495944151471,0.780771834461926
