Variable,Horizon,LowerCI,Resp,HigherCI
TFP,1,-0,-0,-0
TFP,2,-0.0947426352977359,0.305155522108666,0.305155522108666
TFP,3,-0.384328763266063,0.208958340674166,0.208958340674166
TFP,4,-0.560362587544561,0.198068077426022,0.198068077426022
TFP,5,-0.646708974333092,0.249691185248313,0.249691185248313
TFP,6,-0.637868909905119,0.32223656468933,0.32223656468933
TFP,7,-0.608782897776876,0.460403686827527,0.460403686827527
TFP,8,-0.526309738109691,0.624157032056212,0.624157032056212
TFP,9,-0.399313570488119,0.742236535356654,0.742236535356654
TFP,10,-0.297023552807131,0.892157596764775,0.892157596764775
TFP,11,-0.185610342602148,1.01953504325048,1.01953504325048
TFP,12,-0.0615704667909392,1.16159049414311,1.16159049414311
TFP,13,0.058811925715231,1.3116920586255,1.3116920586255
TFP,14,0.16732894985839,1.46465561716633,1.46465561716633
TFP,15,0.299247051785356,1.58457588587007,1.58457588587007
TFP,16,0.427745978049918,1.72637628738604,1.72637628738604
TFP,17,0.520450961655696,1.85744764839948,1.85744764839948
TFP,18,0.599702808293515,1.95972803840655,1.95972803840655
TFP,19,0.684169054495393,2.04939130733135,2.04939130733135
TFP,20,0.750348034815239,2.15871830837872,2.15871830837872
TFP,21,0.818635162181563,2.24803994939107,2.24803994939107
TFP,22,0.877459598729696,2.36405746816092,2.36405746816092
TFP,23,0.934004708758018,2.43942240119231,2.43942240119231
TFP,24,0.973546057384173,2.50741547052237,2.50741547052237
TFP,25,0.995324540853081,2.58572661964041,2.58572661964041
TFP,26,1.02628832742035,2.63882273959276,2.63882273959276
TFP,27,1.04021265622524,2.66692686520306,2.66692686520306
TFP,28,1.05183530323722,2.71325921970811,2.71325921970811
TFP,29,1.07562427670104,2.80422806535605,2.80422806535605
TFP,30,1.07587918415482,2.83029533290903,2.83029533290903
TFP,31,1.07423384408227,2.86578867962831,2.86578867962831
TFP,32,1.06873093024382,2.87147080859894,2.87147080859894
TFP,33,1.0823185493012,2.8879119318349,2.8879119318349
TFP,34,1.09182331046086,2.89954770238919,2.89954770238919
TFP,35,1.09189203212469,2.89673901427585,2.89673901427585
TFP,36,1.08380205342028,2.896603463323,2.896603463323
TFP,37,1.06840220854238,2.90079832946889,2.90079832946889
TFP,38,1.05677300829675,2.89942202408607,2.89942202408607
TFP,39,1.0414398494168,2.90099596803977,2.90099596803977
TFP,40,1.01740254204176,2.91020281628872,2.91020281628872
Output,1,-0.0206675271242548,0.288641051129779,0.288641051129779
Output,2,0.0586395261665865,0.353820895010582,0.353820895010582
Output,3,0.117064058592799,0.477243254763079,0.477243254763079
Output,4,0.181990695284694,0.596215617982407,0.596215617982407
Output,5,0.221280108543812,0.689279221891236,0.689279221891236
Output,6,0.242446696661274,0.756871406363091,0.756871406363091
Output,7,0.265383235295957,0.801779440978092,0.801779440978092
Output,8,0.284611844050457,0.831243246821992,0.831243246821992
Output,9,0.312753322962103,0.853722587500769,0.853722587500769
Output,10,0.345989806766695,0.876105354339955,0.876105354339955
Output,11,0.366743249488689,0.904932158454418,0.904932158454418
Output,12,0.389817597555088,0.931047650477599,0.931047650477599
Output,13,0.399382212233225,0.923003439334838,0.923003439334838
Output,14,0.399449077060516,0.923528828618887,0.923528828618887
Output,15,0.398125927577125,0.924130592710626,0.924130592710626
Output,16,0.389857532721808,0.930249662458179,0.930249662458179
Output,17,0.375355386944384,0.94565165655383,0.94565165655383
Output,18,0.354236356960864,0.962961473536453,0.962961473536453
Output,19,0.34884812139287,0.964057871811729,0.964057871811729
Output,20,0.33339715331423,0.956282912371225,0.956282912371225
Output,21,0.317838223087592,0.955498443497531,0.955498443497531
Output,22,0.301648883364895,0.938236919033461,0.938236919033461
Output,23,0.282826863791096,0.933669063429447,0.933669063429447
Output,24,0.268433082605497,0.934048856013432,0.934048856013432
Output,25,0.255695589793516,0.933766583491555,0.933766583491555
Output,26,0.242206549111385,0.920393363066996,0.920393363066996
Output,27,0.226263292205758,0.893619856121097,0.893619856121097
Output,28,0.212474644024887,0.875413247440516,0.875413247440516
Output,29,0.196762098318416,0.852626648104094,0.852626648104094
Output,30,0.175770507215319,0.843276112109547,0.843276112109547
Output,31,0.162352492824102,0.83008818959384,0.83008818959384
Output,32,0.152666528504711,0.816912830114462,0.816912830114462
Output,33,0.143841402498518,0.807433948574809,0.807433948574809
Output,34,0.133732964622043,0.792929744020578,0.792929744020578
Output,35,0.123528462126937,0.780469321995618,0.780469321995618
Output,36,0.115456407676642,0.752645689530947,0.752645689530947
Output,37,0.109046745021335,0.73574177142304,0.73574177142304
Output,38,0.103411487944293,0.706827732722262,0.706827732722262
Output,39,0.0954504701235446,0.675608110784755,0.675608110784755
Output,40,0.0919942136789942,0.668581305217261,0.668581305217261
Consumption,1,0.01316997451358,0.192429970479087,0.192429970479087
Consumption,2,0.0554471624218448,0.233484520628527,0.233484520628527
Consumption,3,0.0885479317709954,0.29946365888353,0.29946365888353
Consumption,4,0.139695692889334,0.401159624854739,0.401159624854739
Consumption,5,0.176839388430647,0.462288892764424,0.462288892764424
Consumption,6,0.21351915362662,0.517200586683987,0.517200586683987
Consumption,7,0.239915451376596,0.569565292244527,0.569565292244527
Consumption,8,0.260946238610411,0.613444454914061,0.613444454914061
Consumption,9,0.277547430455416,0.650205931326558,0.650205931326558
Consumption,10,0.303761721967967,0.684828572976419,0.684828572976419
Consumption,11,0.329899741734922,0.716150678107086,0.716150678107086
Consumption,12,0.350233672498647,0.744721010514049,0.744721010514049
