Variable,Horizon,LowerCI,Resp,HigherCI
TFP,1,-0,-0,-0
TFP,2,-0.141131412510301,0.267152677590312,0.267152677590312
TFP,3,-0.46884860426188,0.172845324162461,0.172845324162461
TFP,4,-0.662907353294949,0.180083316327032,0.180083316327032
TFP,5,-0.742682304325925,0.229718569067016,0.229718569067016
TFP,6,-0.721609418570871,0.355047283107057,0.355047283107057
TFP,7,-0.691081835729228,0.461292050787158,0.461292050787158
TFP,8,-0.612641589346611,0.626308540189993,0.626308540189993
TFP,9,-0.52324933511715,0.768594696346523,0.768594696346523
TFP,10,-0.396186277668694,0.894018157488395,0.894018157488395
TFP,11,-0.284970816897381,1.07147710098303,1.07147710098303
TFP,12,-0.140133624299987,1.20608497753535,1.20608497753535
TFP,13,0.00429215964796944,1.3404925387792,1.3404925387792
TFP,14,0.119107551689691,1.4738584891771,1.4738584891771
TFP,15,0.27424842076655,1.57595739549827,1.57595739549827
TFP,16,0.359570660661089,1.69972456523773,1.69972456523773
TFP,17,0.477610204395583,1.814397366825,1.814397366825
TFP,18,0.565640043157985,1.91607762723941,1.91607762723941
TFP,19,0.644021434005671,2.01452783250949,2.01452783250949
TFP,20,0.724592337784207,2.12639996435202,2.12639996435202
TFP,21,0.787347720624316,2.24418568880162,2.24418568880162
TFP,22,0.842774877160966,2.33877308538977,2.33877308538977
TFP,23,0.89775139300306,2.44981027896109,2.44981027896109
TFP,24,0.945427955345278,2.54399250926216,2.54399250926216
TFP,25,0.98633333998142,2.60400567207747,2.60400567207747
TFP,26,1.03330368577099,2.66920983005959,2.66920983005959
TFP,27,1.06133918346096,2.73214378614182,2.73214378614182
TFP,28,1.08276031029377,2.77932439257447,2.77932439257447
TFP,29,1.09378581860345,2.81325376625934,2.81325376625934
TFP,30,1.08877576918361,2.83285509242809,2.83285509242809
TFP,31,1.09711380843509,2.83309788823604,2.83309788823604
TFP,32,1.09279055770635,2.82717250413261,2.82717250413261
TFP,33,1.08899406589057,2.86948474686942,2.86948474686942
TFP,34,1.08688663153138,2.87809597262461,2.87809597262461
TFP,35,1.08908720359509,2.92322381209333,2.92322381209333
TFP,36,1.0855470349604,2.90187160311877,2.90187160311877
TFP,37,1.06836004205513,2.9154835771346,2.9154835771346
TFP,38,1.0456565035291,2.95194035725349,2.95194035725349
TFP,39,1.03193045293042,2.93975406378294,2.93975406378294
TFP,40,1.00424111276393,2.95350082552083,2.95350082552083
Output,1,-0.0222735346157306,0.299970835339486,0.299970835339486
Output,2,0.0622238050935963,0.360174988472847,0.360174988472847
Output,3,0.122381266946104,0.461562645996083,0.461562645996083
Output,4,0.171246834925806,0.583410337058426,0.583410337058426
Output,5,0.206531025373711,0.660938494356879,0.660938494356879
Output,6,0.235301021730311,0.712611780604486,0.712611780604486
Output,7,0.248852016154516,0.767187474719621,0.767187474719621
Output,8,0.28140978601054,0.799071166835415,0.799071166835415
Output,9,0.30832077938949,0.815497458396335,0.815497458396335
Output,10,0.332573691255994,0.836497347669859,0.836497347669859
Output,11,0.344091262558213,0.853616563206459,0.853616563206459
Output,12,0.361362457678776,0.864344666072989,0.864344666072989
Output,13,0.379660239135896,0.870439311322552,0.870439311322552
Output,14,0.38386346884983,0.879535103750434,0.879535103750434
Output,15,0.389207898488063,0.884918445399481,0.884918445399481
Output,16,0.381455740853496,0.900604537426216,0.900604537426216
Output,17,0.37350320438418,0.901545493911594,0.901545493911594
Output,18,0.368165831237105,0.90764183311292,0.90764183311292
Output,19,0.354255349914339,0.916588887909976,0.916588887909976
Output,20,0.342557743115426,0.908530337120889,0.908530337120889
Output,21,0.33038545249827,0.911028766816504,0.911028766816504
Output,22,0.316226129693415,0.914962749337791,0.914962749337791
Output,23,0.309138832251846,0.915423825194428,0.915423825194428
Output,24,0.297826368431422,0.917583679550945,0.917583679550945
Output,25,0.279126356894581,0.895172844623778,0.895172844623778
Output,26,0.264794424182845,0.88751936896462,0.88751936896462
Output,27,0.247342429460293,0.877365674779029,0.877365674779029
Output,28,0.231744149491446,0.866897544606391,0.866897544606391
Output,29,0.218171273532597,0.840745166246198,0.840745166246198
Output,30,0.206562550773086,0.824280822843285,0.824280822843285
Output,31,0.192990910678538,0.821867192301375,0.821867192301375
Output,32,0.177964153072692,0.804879651960832,0.804879651960832
Output,33,0.16666577903734,0.788329432720271,0.788329432720271
Output,34,0.158101237103538,0.747526031932889,0.747526031932889
Output,35,0.140882076250768,0.731624366628958,0.731624366628958
Output,36,0.134164080832509,0.722150240616271,0.722150240616271
Output,37,0.126455562043207,0.701561740479739,0.701561740479739
Output,38,0.116773843269878,0.689549563102596,0.689549563102596
Output,39,0.104264867089854,0.671704310847133,0.671704310847133
Output,40,0.0996361236486849,0.657384443528084,0.657384443528084
Consumption,1,0.0160292727729427,0.194298736438658,0.194298736438658
Consumption,2,0.0532847311165038,0.234519712522251,0.234519712522251
Consumption,3,0.0868547953185873,0.304759122966978,0.304759122966978
Consumption,4,0.131162184696747,0.394194865654001,0.394194865654001
Consumption,5,0.16479326813866,0.455537942416699,0.455537942416699
Consumption,6,0.1964323922038,0.512800377733615,0.512800377733615
