Variable,Horizon,LowerCI,Resp,HigherCI
TFP,1,-0,-0,-0
TFP,2,-0.237234392106934,0.332518041418178,0.332518041418178
TFP,3,-0.523085670625662,0.341425588623134,0.341425588623134
TFP,4,-0.63475604543442,0.360148481821847,0.360148481821847
TFP,5,-0.708689924894578,0.432807936377254,0.432807936377254
TFP,6,-0.703573186778589,0.528874388217445,0.528874388217445
TFP,7,-0.678648687747452,0.640070434958445,0.640070434958445
TFP,8,-0.604035703766443,0.754923497009973,0.754923497009973
TFP,9,-0.512860646338332,0.873105249341207,0.873105249341207
TFP,10,-0.42551516013534,0.995877886408252,0.995877886408252
TFP,11,-0.31304481181119,1.11857217241239,1.11857217241239
TFP,12,-0.179565718160588,1.24596204815509,1.24596204815509
TFP,13,-0.043510878902529,1.37975878797599,1.37975878797599
TFP,14,0.092704062128557,1.48721669240981,1.48721669240981
TFP,15,0.219453664705024,1.62108156452456,1.62108156452456
TFP,16,0.310419048178985,1.71013628932408,1.71013628932408
TFP,17,0.41777021249874,1.79653253838664,1.79653253838664
TFP,18,0.508666803200625,1.93864622368632,1.93864622368632
TFP,19,0.615126533548105,2.02230660313405,2.02230660313405
TFP,20,0.679820917504572,2.16204690661238,2.16204690661238
TFP,21,0.756924633692913,2.2456134028806,2.2456134028806
TFP,22,0.840784389671313,2.36000467762301,2.36000467762301
TFP,23,0.904389736550664,2.45327567809125,2.45327567809125
TFP,24,0.950498219619675,2.508142943893,2.508142943893
TFP,25,0.999792729643525,2.56824239502795,2.56824239502795
TFP,26,1.03544414906045,2.64261759718684,2.64261759718684
TFP,27,1.06635089572572,2.69358049245794,2.69358049245794
TFP,28,1.10083007341851,2.76483308308349,2.76483308308349
TFP,29,1.13805500112322,2.84706259559171,2.84706259559171
TFP,30,1.14858107336063,2.89614293318093,2.89614293318093
TFP,31,1.16082567822814,2.93687694915464,2.93687694915464
TFP,32,1.17036988705098,3.00087617765977,3.00087617765977
TFP,33,1.16424534743201,3.04540758460662,3.04540758460662
TFP,34,1.1634400534296,3.04391020918961,3.04391020918961
TFP,35,1.16061047033252,3.05542362773279,3.05542362773279
TFP,36,1.15398631921608,3.06965703346358,3.06965703346358
TFP,37,1.15777258865665,3.01977341027657,3.01977341027657
TFP,38,1.14475972909103,2.99520688614028,2.99520688614028
TFP,39,1.12371610820514,2.99227050017641,2.99227050017641
TFP,40,1.10446171606556,3.02162745589565,3.02162745589565
Output,1,0.0108465426400751,0.299722130806021,0.299722130806021
Output,2,0.0707838039867356,0.348078894740515,0.348078894740515
Output,3,0.119037226208233,0.4433407391612,0.4433407391612
Output,4,0.187608885795692,0.545698848828297,0.545698848828297
Output,5,0.21595190057056,0.611907919874521,0.611907919874521
Output,6,0.245030815793951,0.663150983402448,0.663150983402448
Output,7,0.276299993061342,0.710377243874381,0.710377243874381
Output,8,0.30125016664147,0.73570133319772,0.73570133319772
Output,9,0.321946948925437,0.752328230181115,0.752328230181115
Output,10,0.337352643093308,0.779985491127421,0.779985491127421
Output,11,0.344539591068845,0.787351477298131,0.787351477298131
Output,12,0.357242293017355,0.802118210031981,0.802118210031981
Output,13,0.371098637195572,0.812388044176097,0.812388044176097
Output,14,0.383499289237655,0.819231448039204,0.819231448039204
Output,15,0.385418368133467,0.826911671559852,0.826911671559852
Output,16,0.388017718865356,0.837166176510306,0.837166176510306
Output,17,0.379043554194561,0.836861742317707,0.836861742317707
Output,18,0.369469738504089,0.839016210140199,0.839016210140199
Output,19,0.362895629656959,0.840839328806224,0.840839328806224
Output,20,0.349402544890406,0.838641253731113,0.838641253731113
Output,21,0.340302996159758,0.837844936587593,0.837844936587593
Output,22,0.329469001031602,0.833310760558011,0.833310760558011
Output,23,0.321049635805694,0.829376845252802,0.829376845252802
Output,24,0.310195405718337,0.826184036429638,0.826184036429638
Output,25,0.297796753404767,0.820186146468641,0.820186146468641
Output,26,0.278128123807534,0.814257882685294,0.814257882685294
Output,27,0.267897052723825,0.805152476544404,0.805152476544404
Output,28,0.253382611967427,0.790649474568891,0.790649474568891
Output,29,0.233143099074345,0.7670901208037,0.7670901208037
Output,30,0.220092380614073,0.752748566284709,0.752748566284709
Output,31,0.205327645483731,0.739668697622227,0.739668697622227
Output,32,0.191278688459617,0.735994889084672,0.735994889084672
Output,33,0.174711843170751,0.722370014627636,0.722370014627636
Output,34,0.157118456411395,0.708561340854205,0.708561340854205
Output,35,0.143351290065212,0.688044816303897,0.688044816303897
