Variable,Horizon,LowerCI,Resp,HigherCI
Excess Bond Premium,1,-0.276815189688479,-0.165628310847536,-0.165628310847536
Excess Bond Premium,2,-0.202965891063739,-0.119422729793495,-0.119422729793495
Excess Bond Premium,3,-0.150358406071114,-0.0721115163571429,-0.0721115163571429
Excess Bond Premium,4,-0.107757838770733,-0.0323873877293194,-0.0323873877293194
Excess Bond Premium,5,-0.0801758646094754,-0.00521070429738962,-0.00521070429738962
Excess Bond Premium,6,-0.0561498798372405,0.0158890262202035,0.0158890262202035
Excess Bond Premium,7,-0.0408365122249787,0.028896638398202,0.028896638398202
Excess Bond Premium,8,-0.0258092558384406,0.0348755861220091,0.0348755861220091
Excess Bond Premium,9,-0.0134810702514371,0.0383747180872569,0.0383747180872569
Excess Bond Premium,10,-0.00381028829505731,0.0405351045445721,0.0405351045445721
Excess Bond Premium,11,0.00230650577492695,0.0419252759450928,0.0419252759450928
Excess Bond Premium,12,0.00744286448170774,0.0422947554005397,0.0422947554005397
Excess Bond Premium,13,0.0102648337035015,0.041868503279683,0.041868503279683
Excess Bond Premium,14,0.0115096410728764,0.0411878358298188,0.0411878358298188
Excess Bond Premium,15,0.0121756215397981,0.0405547375670864,0.0405547375670864
Excess Bond Premium,16,0.011766342270703,0.0389259299066602,0.0389259299066602
Excess Bond Premium,17,0.0108260698668722,0.0368294846609565,0.0368294846609565
Excess Bond Premium,18,0.00964954607195454,0.0352733512587488,0.0352733512587488
Excess Bond Premium,19,0.00888389566669887,0.0334722800841834,0.0334722800841834
Excess Bond Premium,20,0.00761056977692201,0.0316439064591346,0.0316439064591346
Excess Bond Premium,21,0.00695093589841221,0.0290253209556508,0.0290253209556508
Excess Bond Premium,22,0.00566283084682041,0.0268761169807239,0.0268761169807239
Excess Bond Premium,23,0.00480596195188439,0.0243562559794652,0.0243562559794652
Excess Bond Premium,24,0.00424384215389575,0.0225412393647373,0.0225412393647373
Excess Bond Premium,25,0.00335257758760004,0.0208024097022395,0.0208024097022395
Excess Bond Premium,26,0.00255399686531627,0.0189454077289136,0.0189454077289136
Excess Bond Premium,27,0.00183512936605073,0.0171454638521255,0.0171454638521255
Excess Bond Premium,28,0.00127283285737981,0.0152411617494147,0.0152411617494147
Excess Bond Premium,29,0.000876294030640111,0.0137091294367376,0.0137091294367376
Excess Bond Premium,30,0.00019958047719037,0.0122454534695138,0.0122454534695138
Excess Bond Premium,31,-0.000285349025869557,0.0109777906922832,0.0109777906922832
Excess Bond Premium,32,-0.00102504285631715,0.0097494796826374,0.0097494796826374
Excess Bond Premium,33,-0.00171874458507837,0.00865123752128942,0.00865123752128942
Excess Bond Premium,34,-0.00215635373539783,0.00734873633341882,0.00734873633341882
Excess Bond Premium,35,-0.00268484718123726,0.00631974467757101,0.00631974467757101
Excess Bond Premium,36,-0.00308730019916667,0.00547426098411889,0.00547426098411889
Excess Bond Premium,37,-0.00345805477878642,0.00487587144633716,0.00487587144633716
Excess Bond Premium,38,-0.00372285614585209,0.00430462561305456,0.00430462561305456
Excess Bond Premium,39,-0.00409879030632588,0.0037179642428192,0.0037179642428192
Excess Bond Premium,40,-0.00447670233860364,0.00321845704379571,0.00321845704379571
TFP,1,-0.175855862100538,1.04389162098037,1.04389162098037
TFP,2,-0.244816054946075,0.725614374121146,0.725614374121146
TFP,3,-0.432670687251495,0.488311487813135,0.488311487813135
TFP,4,-0.534370669114522,0.415552019123355,0.415552019123355
TFP,5,-0.53122638360285,0.396158300883786,0.396158300883786
TFP,6,-0.512316454955083,0.421096116108032,0.421096116108032
TFP,7,-0.453069715579654,0.485180498325354,0.485180498325354
TFP,8,-0.429394007270307,0.550704192359995,0.550704192359995
TFP,9,-0.35326966193783,0.627893503218104,0.627893503218104
TFP,10,-0.254884338752448,0.685265923593492,0.685265923593492
TFP,11,-0.175602958112056,0.745049566616495,0.745049566616495
TFP,12,-0.102289184967014,0.811224259085545,0.811224259085545
TFP,13,-0.0187921213024605,0.860666483042028,0.860666483042028
TFP,14,0.044103903628788,0.934725285567664,0.934725285567664
TFP,15,0.124738742622402,1.00907395400245,1.00907395400245
TFP,16,0.176219000011661,1.07119156654192,1.07119156654192
TFP,17,0.22374296767052,1.11805661775784,1.11805661775784
TFP,18,0.277513210252852,1.1663761292313,1.1663761292313
TFP,19,0.32597117421132,1.22752466741916,1.22752466741916
TFP,20,0.366490794271,1.26926770543474,1.26926770543474
TFP,21,0.409429719274044,1.30142255264317,1.30142255264317
TFP,22,0.434329718426268,1.34059617847019,1.34059617847019
TFP,23,0.454123315246397,1.36909513636031,1.36909513636031
TFP,24,0.469159005244895,1.37376759202619,1.37376759202619
TFP,25,0.484281910004754,1.3932725289532,1.3932725289532
TFP,26,0.502695793004717,1.40749970293416,1.40749970293416
TFP,27,0.519885835381045,1.42562939352756,1.42562939352756
TFP,28,0.536315077739127,1.43439111808282,1.43439111808282
TFP,29,0.539007451437112,1.44772379828605,1.44772379828605
TFP,30,0.539123583880233,1.44470906172705,1.44470906172705
TFP,31,0.535335722512043,1.44513825219084,1.44513825219084
TFP,32,0.542492989290024,1.43992253591257,1.43992253591257
TFP,33,0.534029104557242,1.44346090118666,1.44346090118666
TFP,34,0.52384691066614,1.44866425045493,1.44866425045493
TFP,35,0.518749048912336,1.43022085547925,1.43022085547925
TFP,36,0.51207156795602,1.42226990058293,1.42226990058293
TFP,37,0.508604819960463,1.41232211118197,1.41232211118197
TFP,38,0.500935337147306,1.40643156614191,1.40643156614191
TFP,39,0.494833346784846,1.40100531173131,1.40100531173131
TFP,40,0.488844415858642,1.39085671084066,1.39085671084066
Output,1,0.0909510706999761,0.312555117621643,0.312555117621643
Output,2,0.186947480917466,0.382523683786738,0.382523683786738
Output,3,0.264285448473013,0.475013675699899,0.475013675699899
Output,4,0.312435078326895,0.549393601201215,0.549393601201215
Output,5,0.332321582235693,0.596100288743243,0.596100288743243
Output,6,0.335032772538228,0.633579849161288,0.633579849161288
Output,7,0.345947800608669,0.65601257109757,0.65601257109757
Output,8,0.340399770950561,0.669188739615745,0.669188739615745
Output,9,0.329717192650675,0.67878520744507,0.67878520744507
Output,10,0.318994147590084,0.680728794342276,0.680728794342276
Output,11,0.304989630865362,0.67139209307149,0.67139209307149
Output,12,0.299465298519887,0.665066216413044,0.665066216413044
Output,13,0.285714720206073,0.65382515519419,0.65382515519419
Output,14,0.27070227686456,0.638826190504379,0.638826190504379
Output,15,0.254600033147017,0.631025226196211,0.631025226196211
Output,16,0.241179087255626,0.616257214911441,0.616257214911441
Output,17,0.230397759860668,0.602222879243854,0.602222879243854
Output,18,0.220656859683145,0.587688110478607,0.587688110478607
Output,19,0.208986595851113,0.575489172497014,0.575489172497014
Output,20,0.198510532633787,0.556606895435976,0.556606895435976
Output,21,0.188346210030797,0.538193550271774,0.538193550271774
Output,22,0.177108205385832,0.517966571831645,0.517966571831645
Output,23,0.170954005059357,0.500992278271094,0.500992278271094
Output,24,0.159176296123726,0.486982772548721,0.486982772548721
Output,25,0.152722223676036,0.476520196196205,0.476520196196205
Output,26,0.142936434792298,0.4605083136072,0.4605083136072
Output,27,0.13822195804577,0.441172424590122,0.441172424590122
Output,28,0.133829166481627,0.425343524525097,0.425343524525097
Output,29,0.12922522683404,0.41027664564563,0.41027664564563
Output,30,0.12398190220431,0.39750060305472,0.39750060305472
Output,31,0.119641482286682,0.388863831120318,0.388863831120318
Output,32,0.115013424109291,0.379415468466711,0.379415468466711
Output,33,0.109834252455357,0.370437240704177,0.370437240704177
Output,34,0.108074557624147,0.361097601650531,0.361097601650531
Output,35,0.105166527858575,0.348714007168444,0.348714007168444
Output,36,0.10285786094241,0.340861816065443,0.340861816065443
Output,37,0.101919456762145,0.332963891468753,0.332963891468753
Output,38,0.100433173718176,0.327951089395168,0.327951089395168
Output,39,0.0981054126802336,0.322609149503641,0.322609149503641
Output,40,0.094781817637231,0.318531992239444,0.318531992239444
Consumption,1,0.0413452284777484,0.160659522890101,0.160659522890101
Consumption,2,0.0953915475223359,0.217944924935344,0.217944924935344
Consumption,3,0.155254354356848,0.288263104167733,0.288263104167733
Consumption,4,0.197606871184679,0.354077252978331,0.354077252978331
Consumption,5,0.223356824882872,0.40538474483144,0.40538474483144
Consumption,6,0.244385594804247,0.447269358773924,0.447269358773924
Consumption,7,0.259478297392776,0.480667508818683,0.480667508818683
Consumption,8,0.269049045511191,0.507677624996177,0.507677624996177
Consumption,9,0.270865945246513,0.52893951097709,0.52893951097709
Consumption,10,0.273298034128148,0.543218601213291,0.543218601213291
Consumption,11,0.27148523921759,0.549801257169512,0.549801257169512
Consumption,12,0.27042236170631,0.556302061101682,0.556302061101682
Consumption,13,0.266850571474994,0.56437716318674,0.56437716318674
Consumption,14,0.259648831693049,0.566591895386934,0.566591895386934
Consumption,15,0.251654479307855,0.565186069038734,0.565186069038734
Consumption,16,0.250504349830449,0.562945514029666,0.562945514029666
Consumption,17,0.245395168090729,0.562266241635958,0.562266241635958
Consumption,18,0.240370468790104,0.564346936614521,0.564346936614521
Consumption,19,0.235267040171675,0.558214597047214,0.558214597047214
Consumption,20,0.228670859583253,0.554353961708031,0.554353961708031
Consumption,21,0.222680217038454,0.554783974322001,0.554783974322001
Consumption,22,0.216196191581718,0.545787917455793,0.545787917455793
Consumption,23,0.211979492196543,0.542734016637827,0.542734016637827
Consumption,24,0.205545870891442,0.536136341859841,0.536136341859841
Consumption,25,0.198610269388357,0.526329722328733,0.526329722328733
Consumption,26,0.193983514386137,0.517370119388651,0.517370119388651
Consumption,27,0.188088853735933,0.507598499683605,0.507598499683605
Consumption,28,0.184143742305075,0.501540845305995,0.501540845305995
Consumption,29,0.178466923498698,0.491599346376048,0.491599346376048
Consumption,30,0.174968190058815,0.483508915467887,0.483508915467887
Consumption,31,0.171360242115867,0.478569858519116,0.478569858519116
Consumption,32,0.168489732133661,0.471696634510374,0.471696634510374
Consumption,33,0.16640445954436,0.464449164035967,0.464449164035967
Consumption,34,0.165601606571574,0.460372278563422,0.460372278563422
Consumption,35,0.163027617656449,0.453547879109893,0.453547879109893
Consumption,36,0.160368406001747,0.44703212740135,0.44703212740135
Consumption,37,0.157779038627411,0.443762478642121,0.443762478642121
Consumption,38,0.155989206755621,0.438600800949458,0.438600800949458
Consumption,39,0.154440519761531,0.430360365788055,0.430360365788055
Consumption,40,0.151918234287504,0.426740596876611,0.426740596876611
Hours,1,0.0526030893437631,0.241456829172181,0.241456829172181
Hours,2,0.168968514943983,0.379963066244629,0.379963066244629
Hours,3,0.278911058824911,0.544874705103608,0.544874705103608
Hours,4,0.359487151187134,0.677441797204608,0.677441797204608
Hours,5,0.41240428472694,0.777418491363389,0.777418491363389
Hours,6,0.437521647196274,0.843127909525971,0.843127909525971
Hours,7,0.439912722290739,0.881897425989398,0.881897425989398
Hours,8,0.422293913076113,0.888616452918178,0.888616452918178
Hours,9,0.396953426020503,0.889601675872798,0.889601675872798
Hours,10,0.369206989348465,0.872383629389473,0.872383629389473
Hours,11,0.33705854894755,0.846752538348588,0.846752538348588
Hours,12,0.301721906028946,0.815583042266797,0.815583042266797
Hours,13,0.271343627467668,0.772297269227602,0.772297269227602
Hours,14,0.24072706383776,0.729987842547103,0.729987842547103
