Variable,Horizon,LowerCI,Resp,HigherCI
TFP,1,0,-0,-0
TFP,2,-0.0848805793964413,0.13218805152189,0.364662587773181
TFP,3,-0.234550241241702,0.0590891140892284,0.347807052924624
TFP,4,-0.302538971573703,-0.0165298727364129,0.343731972993838
TFP,5,-0.344433769717037,0.00692337439961016,0.373568883924773
TFP,6,-0.314645598183385,0.0476903361864603,0.460166668051084
TFP,7,-0.26655831374808,0.128658400156597,0.565342636894083
TFP,8,-0.186729114903989,0.225892954233684,0.645660739641001
TFP,9,-0.0904991584623717,0.327678875743291,0.772116330866918
TFP,10,0.0111621621434953,0.435418781362896,0.902153222516521
TFP,11,0.144936036075321,0.584410631607816,1.05896698891501
TFP,12,0.296558851951885,0.737613012445843,1.18777871674813
TFP,13,0.423725509067055,0.868273071084346,1.33906941367292
TFP,14,0.552251811967757,0.997219996649889,1.50281972557244
TFP,15,0.685444300360702,1.12339682845845,1.6434147364719
TFP,16,0.793230983546341,1.2405137685025,1.80354250353722
TFP,17,0.876118887021657,1.35731581486149,1.96448920705839
TFP,18,0.931661871026255,1.44336263637367,2.09360386765198
TFP,19,1.00575458563644,1.51773214993647,2.20993331649492
TFP,20,1.05757811196688,1.57797935426348,2.29982128603373
TFP,21,1.08605593242094,1.62852160013753,2.36503722856486
TFP,22,1.10986031397489,1.69024625842699,2.48246529589132
TFP,23,1.14224140236316,1.72067867368116,2.53801485731422
TFP,24,1.15796342507488,1.74309107016193,2.61761717414766
TFP,25,1.14593905256928,1.77019089202229,2.66188830539737
TFP,26,1.14359905732229,1.79062646745738,2.69748839237965
TFP,27,1.13529832833978,1.79722410054849,2.73192836781272
TFP,28,1.13502237727879,1.78994965271545,2.75383761765446
TFP,29,1.12065542433513,1.77006084372512,2.8053774714559
TFP,30,1.09306127865915,1.77307965446341,2.82832385198253
TFP,31,1.07608447949884,1.74595026225493,2.83096611710589
TFP,32,1.05576999701108,1.72467220778121,2.87984135765553
TFP,33,1.03896532004812,1.69524806977343,2.87770950155391
TFP,34,1.01053633678953,1.66392556182089,2.86496570482456
TFP,35,0.995795870710116,1.63148184390165,2.85025404140005
TFP,36,0.970975681588492,1.60666229868198,2.87379156608088
TFP,37,0.951130977544806,1.57922733892932,2.90190849046238
TFP,38,0.925343527677055,1.54413811470048,2.90208441076013
TFP,39,0.897185741778227,1.51380231907097,2.90984332903424
TFP,40,0.881248768043599,1.49145579225611,2.91788439314339
Output,1,-0.0142324394840008,0.142066382593125,0.26023828033917
Output,2,0.0720866694881783,0.219307690012382,0.313119726401037
Output,3,0.130232874059756,0.302039981920105,0.405485152316792
Output,4,0.191733949983738,0.39055349036503,0.509148673087179
Output,5,0.228057035166274,0.443708887369478,0.58655564251712
Output,6,0.248353291931908,0.484657791701444,0.647933375276643
Output,7,0.258902511655119,0.510244305264178,0.704301486079078
Output,8,0.268262819877123,0.532268564816308,0.735384415914604
