date,TFP,Real GDP per capita,Real Investment per capita,Real consumption per capita,Hours per capita,SP500 (from Shiller's website),Inflation (Implicit GDP deflator),ebp,gz_spr,defaultrisk,RMV Banks,LOOS: Reporting tighter standards (available from 1990Q2),BAA SPREAD
1984-01-01,0.030075663,8.977877073,7.27296374,8.351457541,4.485220054,5.78,0.0410,0.000165,0.008977333,0.008812333,3.592959684,,0.018
1984-04-01,0.06292347,8.991029811,7.299787181,8.361798292,4.495928763,5.74,0.0350,-0.000494667,0.008103333,0.008598,3.543977919,,0.015
1984-07-01,0.079240086,8.997617303,7.312399399,8.367977506,4.497840993,5.76,0.0360,0.000247,0.009036333,0.008789333,3.664967659,,0.0184
1984-10-01,0.093925576,9.002452731,7.309855432,8.375220426,4.501493582,5.78,0.0300,-0.001129667,0.009122333,0.010252,3.617782021,,0.0186
1985-01-01,0.137472467,9.008376069,7.298965379,8.386896176,4.507227571,5.83,0.0400,-0.000371667,0.009383667,0.009755333,3.658631696,,0.0181
1985-04-01,0.124443479,9.011946465,7.311950806,8.393501447,4.511355913,5.86,0.0260,-0.000423667,0.011028,0.011451667,3.702422674,,0.0221
1985-07-01,0.15451385,9.021049869,7.324933613,8.402845753,4.511461844,5.87,0.0240,0.001292333,0.011212667,0.009920333,3.677248118,,0.0213
1985-10-01,0.142675694,9.023901727,7.336266388,8.408723947,4.513338703,5.91,0.0230,0.001766,0.013131667,0.011365667,3.861922557,,0.0222
1986-01-01,0.180420871,9.024646748,7.337387628,8.410262329,4.506897082,6.00,0.0200,0.002213,0.016654667,0.014441667,3.96172172,,0.0246
1986-04-01,0.212641437,9.032692322,7.333969659,8.414875458,4.501893013,6.09,0.0150,0.002178667,0.018302,0.016123333,3.642589388,,0.0267
1986-07-01,0.218496023,9.039267648,7.341655759,8.418829691,4.50397633,6.09,0.0160,0.005430667,0.020529,0.015098333,3.579319089,,0.0287
1986-10-01,0.207491338,9.041173722,7.335390975,8.426384201,4.508743315,6.09,0.0220,0.005826667,0.019659,0.013832333,3.822383524,,0.0283
1987-01-01,0.161744788,9.040875622,7.32998556,8.433352372,4.517129766,6.21,0.0260,0.004656667,0.018209,0.013552333,4.043648994,,0.0247
1987-04-01,0.205392033,9.04616295,7.340900371,8.439947638,4.519983591,6.25,0.0280,-0.000170333,0.016602667,0.016773,3.794684353,,0.0201
1987-07-01,0.220564683,9.049742493,7.35197569,8.443606689,4.523997889,6.32,0.0310,0.002419333,0.015245333,0.012826,3.81756834,,0.0203
1987-10-01,0.224609009,9.062544835,7.385404835,8.448363131,4.531921581,6.08,0.0320,-0.002475333,0.015263667,0.017739,3.384284139,,0.0226
1988-01-01,0.280044733,9.063884857,7.366112998,8.458436359,4.530031608,6.08,0.0320,-0.000973333,0.015693667,0.016667,3.535744402,,0.0234
1988-04-01,0.292255338,9.072548161,7.379657586,8.464698682,4.541996272,6.09,0.0400,0.000181333,0.014020333,0.013839,3.614063298,,0.0207
1988-07-01,0.306667107,9.074218528,7.376300253,8.474071611,4.542052241,6.09,0.0490,-0.000422,0.013363667,0.013785667,3.527362664,,0.0197
1988-10-01,0.307690737,9.082888966,7.392830454,8.481051681,4.551005328,6.10,0.0350,0.002080667,0.014671333,0.012590667,3.730195442,,0.0156
1989-01-01,0.295037956,9.088847563,7.410955661,8.484254393,4.557918187,6.14,0.0420,0.002435,0.014458667,0.012023667,3.629323424,,0.0144
1989-04-01,0.274200153,9.089695836,7.406826531,8.485533187,4.559861815,6.20,0.0430,0.004347,0.016292667,0.011945667,3.768928004,,0.0159
1989-07-01,0.294807993,9.095646598,7.405959847,8.490948353,4.559661701,6.28,0.0300,0.005555667,0.016727667,0.011172,4.656308533,,0.0178
1989-10-01,0.284560036,9.094093563,7.388792416,8.498880983,4.557723914,6.28,0.0290,0.005887667,0.016074667,0.010187,4.487722865,,0.0191
